NO,식품종류,식품명,상세분류,1회제공량,kcal,단백질(g),지방(g),탄수화물(g)
13988,가공식품,소와나무 우유,우유,200.0,140,6,8,11
13989,가공식품,빙그레 굿모닝우유,우유,100.0,66,3,4,4.5
13990,가공식품,메밀부침가루 2호,곡류가공품,100.0,370,11,2.7,75
13991,가공식품,잇퍼스트 단호박,기타가공품,75.0,285,18,2.6,-
13992,가공식품,잇퍼스트,기타가공품,85.0,391.4,4.2,3,86.9
13993,가공식품,잇퍼스트 초코,기타가공품,75.0,280,20,6,-
13994,가공식품,잇퍼스트 자색고구마,기타가공품,75.0,280,17,3.2,-
13995,가공식품,감자 치아바타,기타빵류,150.0,225,8,1,46
13996,가공식품,올리브 치아바타,기타빵류,150.0,378,20,7,58.8
13997,가공식품,선데이 파인애플키위잼,잼,20.0,43,0.1,0.2,10.1
13998,가공식품,대학약콩,혼합음료,190.0,70,6,2.7,5
13999,가공식품,통째로 갈아 만든 유기농두유,가공두유,190.0,95,4,1.8,15
14000,가공식품,내몸애 검은콩두유,가공두유,190.0,90,4,3.8,12
14001,가공식품,명가명품 제주녹차 카스테라,카스텔라,100.0,290,7,5,54
14002,가공식품,명가명품 우리벌꿀 카스테라,카스텔라,100.0,290,6,5,54
14003,가공식품,허니 본델리슈,카스텔라,100.0,290,6,5,54
14004,가공식품,쇼프트 치즈케익,케이크,50.0,166,3,6,25
14005,가공식품,꽃빵,기타빵류,100.0,200,5,1.1,43
14006,가공식품,아가베시럽을 넣어만든 유기농 딸기잼,잼,270.0,800,1,4.9,188
14007,가공식품,유기농 블루베리잼,잼,20.0,40,0,0,9
14008,가공식품,설탕을 넣지 않은 유기농 블루베리잼,잼,100.0,270,0.7,0,65
14009,가공식품,CJ꽃빵,기타빵류,550.0,1385,28,18,276
14010,가공식품,맥케이 블루베리와 블랙커런트 쨈,잼,20.0,50,0.7,0,13
14011,가공식품,구수한 사골곰탕,식육추출가공품,500.0,75,11,3,1
14012,가공식품,유기농 플레인 요구르트,농후발효유,1000000.0,120,5,4.6,15
14013,가공식품,유기농 딸기 요구르트,농후발효유,1000000.0,125,5,4.6,16
14014,가공식품,유기농 우유 냉장,우유,100.0,65,4,3.5,5
14015,가공식품,유기농우유,우유,200.0,130,7,7,10
14016,가공식품,반계탕,식육추출가공품,600.0,470,32,20,41
14017,가공식품,The 더 건강한 브런치 슬라이스 오리지널,프레스햄,100.0,120,19,2.9,4
14018,가공식품,원칙을 지키는 프랑크,소시지,100.0,280,14,24,2
14019,가공식품,청정원 콰트로치즈 그릴 비엔나,소시지,100.0,260,11,19,11
14020,가공식품,The 더 건강한 햄 치즈,프레스햄,100.0,330,13,30,2
14021,가공식품,빠,스낵과자,100.0,390,-,-,-
14022,가공식품,100% 유기농 허니팝 키즈퐁,스낵과자,30.0,33.3,0.63,0,7.4
14023,가공식품,10종 멀티팩,기타과자,30.0,42.48,0.86,1.66,6.08
14024,가공식품,1500 미니약과,한과류,30.0,91.1,0.66,3.23,15.43
14025,가공식품,"150누네띠네, 2000누네띠네, 3600누네띠네",스낵과자,30.0,375,6.25,18.75,43.75
14026,가공식품,15곡 브라운 라이스 롤,스낵과자,30.0,51.94,0.6,3.45,4.65
14027,가공식품,15곡 브라운 라이스 롤 블랙 슬림,스낵과자,30.0,59.85,0.5,3.02,5.04
14028,가공식품,2200 미니약과,한과류,30.0,96.69,0.74,3.39,16.53
14029,가공식품,24개 미니 마카롱,기타과자,30.0,36,1.08,1.62,4.86
14030,가공식품,30 홀리데이 캔디 케인스,사탕,10.0,28.08,0,0,1
14031,가공식품,3초만 참으셔,사탕,10.0,3.9,0,0,0.97
14032,가공식품,5곡+2견과 레몬센드,기타과자,30.0,44.25,0.75,1.88,6
14033,가공식품,6년근 홍삼캔디,사탕,10.0,79.44,0.02,0,19.84
14034,가공식품,700 미니약과,한과류,30.0,91.1,0.66,3.23,15.43
14035,가공식품,72 마카롱 라즈베리,쿠키,30.0,40.5,0.9,2.1,4.5
14036,가공식품,72 마카롱 레몬,쿠키,30.0,40.5,0.9,2.1,4.5
14037,가공식품,72 마카롱 바닐라향,쿠키,30.0,40.5,0.9,2.1,4.5
14038,가공식품,72 마카롱 초코,쿠키,30.0,40.5,0.9,2.1,4.5
14039,가공식품,72 마카롱 커피,쿠키,30.0,40.5,0.9,2.1,4.5
14040,가공식품,8 벨지안 트리플 초콜렛 청크 올 버터쿠키,쿠키,30.0,45.72,0.54,2.38,5.44
14041,가공식품,8 벨지안 화이트 초콜렛 청크 올 버터쿠키,쿠키,30.0,46.8,0.54,2.48,5.51
14042,가공식품,8 체리앤아몬드 올 버터쿠키,쿠키,30.0,41.76,0.61,1.91,5.44
14043,가공식품,8 프랩잭 올 버터쿠키,쿠키,30.0,40.32,0.5,1.76,5.44
14044,가공식품,C콘칩 ,스낵과자,30.0,157.9,1.49,8.33,19.23
14045,가공식품,C콘칩 매콤소스,스낵과자,30.0,164.47,1.51,9.59,18.03
14046,가공식품,C콘칲,스낵과자,30.0,47.37,0.45,2.5,5.77
14047,가공식품,C콘칲 골드,스낵과자,30.0,47.07,0.52,2.36,5.94
14048,가공식품,FP 산딸기모양 구미젤리,젤리,10.0,4.33,0.07,0,0.97
